fighter_1,fighter_2,result,weight_class,method,round,time,fight_link,event_url
Anthony Hernandez,Roman Dolidze,win,Middleweight,SUB Rear Naked Choke,4,2:45,http://ufcstats.com/fight-details/68fe62bac7fd8bb0,http://ufcstats.com/event-details/6cd3dfc54f01287f
Steve Erceg,Ode Osbourne,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/37d58369782cb86b,http://ufcstats.com/event-details/6cd3dfc54f01287f
Iasmin Lucindo,Angela Hill,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/646c79a7ecd12e5f,http://ufcstats.com/event-details/6cd3dfc54f01287f
Andre Fili,Christian Rodriguez,win,Featherweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/98d6771af9b0ebe5,http://ufcstats.com/event-details/6cd3dfc54f01287f
Jean Matsumoto,Miles Johns,win,Bantamweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/ed5383b50ffcdded,http://ufcstats.com/event-details/6cd3dfc54f01287f
Christian Leroy Duncan,Eryk Anders,win,Middleweight,KO/TKO Punches,1,3:53,http://ufcstats.com/fight-details/75a84211f50c53f5,http://ufcstats.com/event-details/6cd3dfc54f01287f
Julius Walker,Rafael Cerqueira,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3d6571790c21527c,http://ufcstats.com/event-details/6cd3dfc54f01287f
Elijah Smith,Toshiomi Kazama,win,Bantamweight,KO/TKO Slam,1,4:10,http://ufcstats.com/fight-details/ae7a8f19743e8154,http://ufcstats.com/event-details/6cd3dfc54f01287f
Joselyne Edwards,Priscila Cachoeira,win,Women's Bantamweight,KO/TKO Punch,1,2:24,http://ufcstats.com/fight-details/aef44145740741b3,http://ufcstats.com/event-details/6cd3dfc54f01287f
Uros Medic,Gilbert Urbina,win,Welterweight,KO/TKO Punch,1,1:03,http://ufcstats.com/fight-details/7d923267c44dd93b,http://ufcstats.com/event-details/6cd3dfc54f01287f
Gabriella Fernandes,Julija Stoliarenko,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6ef50ed03b116b60,http://ufcstats.com/event-details/6cd3dfc54f01287f
Eric McConico,Cody Brundage,win,Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/857e8facd8ff7c36,http://ufcstats.com/event-details/6cd3dfc54f01287f
Tatsuro Taira,HyunSung Park,win,Flyweight,SUB Neck Crank,2,1:06,http://ufcstats.com/fight-details/282c8c6c1ed82bfb,http://ufcstats.com/event-details/f2c934689243fe4e
Chris Duncan,Mateusz Rebecki,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/426a69e343822ab3,http://ufcstats.com/event-details/f2c934689243fe4e
Esteban Ribovics,Elves Brener,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/878941394f9e3538,http://ufcstats.com/event-details/f2c934689243fe4e
Karol Rosa,Nora Cornolle,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c62ed8a6002b5360,http://ufcstats.com/event-details/f2c934689243fe4e
Neil Magny,Elizeu Zaleski dos Santos,win,Welterweight,KO/TKO Punches,2,4:39,http://ufcstats.com/fight-details/ac57250e3de89d5d,http://ufcstats.com/event-details/f2c934689243fe4e
Kevin Vallejos,Danny Silva,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/111e66eb922449e4,http://ufcstats.com/event-details/f2c934689243fe4e
Rinya Nakamura,Nathan Fletcher,win,Bantamweight,KO/TKO Kick,1,1:02,http://ufcstats.com/fight-details/eeeffa7f514e0c0e,http://ufcstats.com/event-details/f2c934689243fe4e
Rodolfo Vieira,Tresean Gore,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/45781930d64da456,http://ufcstats.com/event-details/f2c934689243fe4e
Andrey Pulyaev,Nick Klein,win,Middleweight,KO/TKO Kick,2,1:31,http://ufcstats.com/fight-details/b3c695728e177fd4,http://ufcstats.com/event-details/f2c934689243fe4e
Austin Bashi,John Yannis,win,Featherweight,SUB Rear Naked Choke,1,3:39,http://ufcstats.com/fight-details/07c2af68b6dbc4ec,http://ufcstats.com/event-details/f2c934689243fe4e
Rafael Estevam,Felipe Bunes,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/b47db03affb279c3,http://ufcstats.com/event-details/f2c934689243fe4e
Piera Rodriguez,Ketlen Souza,win,Women's Strawweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/d98d6b2c13557a87,http://ufcstats.com/event-details/f2c934689243fe4e
Reinier de Ridder,Robert Whittaker,win,Middleweight,S-DEC,5,5:00,http://ufcstats.com/fight-details/6b8be0ee3e569ad2,http://ufcstats.com/event-details/28d8638ea0a71908
Petr Yan,Marcus McGhee,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d4d4ee045b0ca695,http://ufcstats.com/event-details/28d8638ea0a71908
Shara Magomedov,Marc-Andre Barriault,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/582d66ce97309e29,http://ufcstats.com/event-details/28d8638ea0a71908
Asu Almabayev,Jose Ochoa,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/887c61da1a78a5e1,http://ufcstats.com/event-details/28d8638ea0a71908
Bogdan Guskov,Nikita Krylov,win,Light Heavyweight,KO/TKO Punches,1,4:18,http://ufcstats.com/fight-details/77f960d82cda0b76,http://ufcstats.com/event-details/28d8638ea0a71908
Bryce Mitchell,Said Nurmagomedov,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e72c691b7c68b03a,http://ufcstats.com/event-details/28d8638ea0a71908
Muslim Salikhov,Carlos Leal,win,Welterweight,KO/TKO Punch,1,0:42,http://ufcstats.com/fight-details/7c075e3383198e14,http://ufcstats.com/event-details/28d8638ea0a71908
Davey Grant,Da'Mon Blackshear,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/017a825c7820d12e,http://ufcstats.com/event-details/28d8638ea0a71908
Tabatha Ricci,Amanda Ribas,win,Women's Strawweight,KO/TKO Elbow,2,2:59,http://ufcstats.com/fight-details/3e6067763978d862,http://ufcstats.com/event-details/28d8638ea0a71908
Billy Elekana,Ibo Aslan,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f9dac7702609669f,http://ufcstats.com/event-details/28d8638ea0a71908
Steven Nguyen,Mohammad Yahya,win,Featherweight,KO/TKO,2,5:00,http://ufcstats.com/fight-details/23ddf51ce630028d,http://ufcstats.com/event-details/28d8638ea0a71908
Martin Buday,Marcus Buchecha,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0a598768f5c8d540,http://ufcstats.com/event-details/28d8638ea0a71908
Max Holloway,Dustin Poirier,win,Lightweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/d7507e2741fd4d05,http://ufcstats.com/event-details/b8e2f10efb6eca85
Paulo Costa,Roman Kopylov,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/23c963be9de38205,http://ufcstats.com/event-details/b8e2f10efb6eca85
Daniel Rodriguez,Kevin Holland,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5dde61734080ac4a,http://ufcstats.com/event-details/b8e2f10efb6eca85
Patricio Freire,Dan Ige,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/acc961fd5cf5c62e,http://ufcstats.com/event-details/b8e2f10efb6eca85
Michael Johnson,Daniel Zellhuber,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a95b03e9b5a91e47,http://ufcstats.com/event-details/b8e2f10efb6eca85
Vinicius Oliveira,Kyler Phillips,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d2cb92fdf6a497e9,http://ufcstats.com/event-details/b8e2f10efb6eca85
Brendan Allen,Marvin Vettori,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8e1feda9141602f1,http://ufcstats.com/event-details/b8e2f10efb6eca85
Nikolay Veretennikov,Francisco Prado,win,Welterweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/df2ed8b509fbdbdc,http://ufcstats.com/event-details/b8e2f10efb6eca85
Ateba Gautier,Robert Valentin,win,Middleweight,KO/TKO Punch,1,1:10,http://ufcstats.com/fight-details/72e477b41f44e358,http://ufcstats.com/event-details/b8e2f10efb6eca85
Islam Dulatov,Adam Fugitt,win,Welterweight,KO/TKO Punch,1,4:06,http://ufcstats.com/fight-details/37bc72d5d211b189,http://ufcstats.com/event-details/b8e2f10efb6eca85
Jimmy Crute,Marcin Prachnio,win,Light Heavyweight,SUB Armbar,1,4:42,http://ufcstats.com/fight-details/798652dbea086910,http://ufcstats.com/event-details/b8e2f10efb6eca85
Ryan Spann,Lukasz Brzeski,win,Heavyweight,SUB Guillotine Choke,1,2:47,http://ufcstats.com/fight-details/182ee320edb1b5ed,http://ufcstats.com/event-details/b8e2f10efb6eca85
Brunno Ferreira,Jackson McVey,win,Middleweight,SUB Armbar,1,3:35,http://ufcstats.com/fight-details/74099d470e8d2765,http://ufcstats.com/event-details/b8e2f10efb6eca85
Carli Judice,Nicolle Caliari,win,Women's Flyweight,KO/TKO Knee,3,1:30,http://ufcstats.com/fight-details/a602c68147b752b2,http://ufcstats.com/event-details/b8e2f10efb6eca85
Derrick Lewis,Tallison Teixeira,win,Heavyweight,KO/TKO Punches,1,0:35,http://ufcstats.com/fight-details/0adfc21045c02555,http://ufcstats.com/event-details/7b03d9df5910917d
Gabriel Bonfim,Stephen Thompson,win,Welterweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/2a03bc4c491b4c9a,http://ufcstats.com/event-details/7b03d9df5910917d
Steve Garcia,Calvin Kattar,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f368475c366c6d85,http://ufcstats.com/event-details/7b03d9df5910917d
Morgan Charriere,Nate Landwehr,win,Featherweight,KO/TKO Punch,3,0:27,http://ufcstats.com/fight-details/4e5d4a36eaaa3a78,http://ufcstats.com/event-details/7b03d9df5910917d
Vitor Petrino,Austen Lane,win,Heavyweight,SUB Rear Naked Choke,1,4:16,http://ufcstats.com/fight-details/4b75d3b7738cb278,http://ufcstats.com/event-details/7b03d9df5910917d
Tuco Tokkos,Junior Tafa,win,Light Heavyweight,SUB Arm Triangle,2,4:25,http://ufcstats.com/fight-details/b19bf99c7eb796bc,http://ufcstats.com/event-details/7b03d9df5910917d
Chris Curtis,Max Griffin,win,Welterweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/236f811290163dca,http://ufcstats.com/event-details/7b03d9df5910917d
Jake Matthews,Chidi Njokuani,win,Welterweight,SUB Rear Naked Choke,1,1:09,http://ufcstats.com/fight-details/d5e3be7a07c48b08,http://ufcstats.com/event-details/7b03d9df5910917d
Eduarda Moura,Lauren Murphy,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/46bc1338a50cbeac,http://ufcstats.com/event-details/7b03d9df5910917d
Valter Walker,Kennedy Nzechukwu,win,Heavyweight,SUB Heel Hook,1,0:54,http://ufcstats.com/fight-details/5c650ae2193ab1bc,http://ufcstats.com/event-details/7b03d9df5910917d
Mike Davis,Mitch Ramirez,win,Lightweight,KO/TKO Punches,2,4:08,http://ufcstats.com/fight-details/7f33fbdc35afd721,http://ufcstats.com/event-details/7b03d9df5910917d
Fatima Kline,Melissa Martinez,win,Women's Strawweight,KO/TKO Kick,3,2:36,http://ufcstats.com/fight-details/120d66cb0da0f3c3,http://ufcstats.com/event-details/7b03d9df5910917d
Ilia Topuria,Charles Oliveira,win,Lightweight,KO/TKO Punch,1,2:27,http://ufcstats.com/fight-details/7a64d63e12618ba7,http://ufcstats.com/event-details/66766984842c13dc
Alexandre Pantoja,Kai Kara-France,win,Flyweight,SUB Rear Naked Choke,3,1:55,http://ufcstats.com/fight-details/8308464729ea7c40,http://ufcstats.com/event-details/66766984842c13dc
Joshua Van,Brandon Royval,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f722b96ae6862843,http://ufcstats.com/event-details/66766984842c13dc
Beneil Dariush,Renato Moicano,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79,http://ufcstats.com/event-details/66766984842c13dc
Payton Talbott,Felipe Lima,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f6a3c78f15ff26c7,http://ufcstats.com/event-details/66766984842c13dc
Gregory Rodrigues,Jack Hermansson,win,Middleweight,KO/TKO Punch,1,4:21,http://ufcstats.com/fight-details/958522de54ccc536,http://ufcstats.com/event-details/66766984842c13dc
Jose Delgado,Hyder Amil,win,Featherweight,KO/TKO Knee,1,0:26,http://ufcstats.com/fight-details/2f523b757f7f33a2,http://ufcstats.com/event-details/66766984842c13dc
Tracy Cortez,Viviane Araujo,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/815ff62ca8e217be,http://ufcstats.com/event-details/66766984842c13dc
Terrance McKinney,Viacheslav Borshchev,win,Lightweight,SUB Guillotine Choke,1,0:55,http://ufcstats.com/fight-details/d7be78c400e7e0f9,http://ufcstats.com/event-details/66766984842c13dc
Jacobe Smith,Niko Price,win,Welterweight,SUB Rear Naked Choke,2,4:03,http://ufcstats.com/fight-details/9bff9fe298e63357,http://ufcstats.com/event-details/66766984842c13dc
Jhonata Diniz,Alvin Hines,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/043172689e415438,http://ufcstats.com/event-details/66766984842c13dc
Khalil Rountree Jr.,Jamahal Hill,win,Light Heavyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/03bc32bdb5a33496,http://ufcstats.com/event-details/400c7b43c86d27d3
Rafael Fiziev,Ignacio Bahamondes,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a1afc16e21d1a807,http://ufcstats.com/event-details/400c7b43c86d27d3
Curtis Blaydes,Rizvan Kuniev,win,Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/8e5744c664fec3e9,http://ufcstats.com/event-details/400c7b43c86d27d3
Myktybek Orolbai,Tofiq Musayev,win,Catch Weight,SUB Kimura,1,4:35,http://ufcstats.com/fight-details/36ec204f47e4d613,http://ufcstats.com/event-details/400c7b43c86d27d3
Nazim Sadykhov,Nikolas Motta,win,Lightweight,KO/TKO Punches,2,4:17,http://ufcstats.com/fight-details/7513a00037094075,http://ufcstats.com/event-details/400c7b43c86d27d3
Muhammad Naimov,Bogdan Grad,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/19764211af05674c,http://ufcstats.com/event-details/400c7b43c86d27d3
Seokhyeon Ko,Oban Elliott,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e512b80bbaea36c2,http://ufcstats.com/event-details/400c7b43c86d27d3
JunYong Park,Ismail Naurdiev,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5fcf18bcd2a020f1,http://ufcstats.com/event-details/400c7b43c86d27d3
Daria Zhelezniakova,Melissa Mullins,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/fff3218758c513b8,http://ufcstats.com/event-details/400c7b43c86d27d3
Klaudia Sygula,Irina Alekseeva,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2bfc0212f2cae65b,http://ufcstats.com/event-details/400c7b43c86d27d3
Tagir Ulanbekov,Azat Maksum,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8c140756bf43dcc2,http://ufcstats.com/event-details/400c7b43c86d27d3
Mohammed Usman,Hamdy Abdelwahab,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a12d3a6c8aaf87ca,http://ufcstats.com/event-details/400c7b43c86d27d3
Kamaru Usman,Joaquin Buckley,win,Welterweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/d75b3d3c2b209b75,http://ufcstats.com/event-details/de277a4abcfeea46
Rose Namajunas,Miranda Maverick,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/79dfbbdd14fbbd11,http://ufcstats.com/event-details/de277a4abcfeea46
Edmen Shahbazyan,Andre Petroski,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e5bd7e6e2a50a843,http://ufcstats.com/event-details/de277a4abcfeea46
Raoni Barcelos,Cody Garbrandt,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/1714950933f88ab9,http://ufcstats.com/event-details/de277a4abcfeea46
Mansur Abdul-Malik,Cody Brundage,"draw


draw",Middleweight,Overturned,3,0:36,http://ufcstats.com/fight-details/08c04f18b0f58d71,http://ufcstats.com/event-details/de277a4abcfeea46
Alonzo Menifield,Oumar Sy,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ec2034b134ae71cd,http://ufcstats.com/event-details/de277a4abcfeea46
Paul Craig,Rodolfo Bellato,"nc


nc",Light Heavyweight,CNC,1,4:59,http://ufcstats.com/fight-details/13e2ff8b3a122094,http://ufcstats.com/event-details/de277a4abcfeea46
Michael Chiesa,Court McGee,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e861e9cc0118c670,http://ufcstats.com/event-details/de277a4abcfeea46
Malcolm Wellmaker,Kris Moutinho,win,Bantamweight,KO/TKO Punch,1,2:37,http://ufcstats.com/fight-details/f6454f2e508626ec,http://ufcstats.com/event-details/de277a4abcfeea46
Jose Ochoa,Cody Durden,win,Flyweight,KO/TKO Punch,2,0:11,http://ufcstats.com/fight-details/b39b8ff0d7de211a,http://ufcstats.com/event-details/de277a4abcfeea46
Ricky Simon,Cameron Smotherman,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/59c4fdb3c0673066,http://ufcstats.com/event-details/de277a4abcfeea46
Phil Rowe,Ange Loosa,win,Welterweight,KO/TKO Punches,3,4:03,http://ufcstats.com/fight-details/2ae7404681deb3b3,http://ufcstats.com/event-details/de277a4abcfeea46
Jamey-Lyn Horth,Vanessa Demopoulos,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ab325ea526824723,http://ufcstats.com/event-details/de277a4abcfeea46
Merab Dvalishvili,Sean O'Malley,win,Bantamweight,SUB Guillotine Choke,3,4:42,http://ufcstats.com/fight-details/e61d83e4e1f9c4d7,http://ufcstats.com/event-details/18c49685296c60e6
Kayla Harrison,Julianna Pena,win,Women's Bantamweight,SUB Kimura,2,4:55,http://ufcstats.com/fight-details/81b84b34f0357fa5,http://ufcstats.com/event-details/18c49685296c60e6
Joe Pyfer,Kelvin Gastelum,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e28e829800466aca,http://ufcstats.com/event-details/18c49685296c60e6
Mario Bautista,Patchy Mix,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/df5dac45fc585fb0,http://ufcstats.com/event-details/18c49685296c60e6
Kevin Holland,Vicente Luque,win,Welterweight,SUB Anaconda Choke,2,1:03,http://ufcstats.com/fight-details/2129acab2280bd29,http://ufcstats.com/event-details/18c49685296c60e6
Joshua Van,Bruno Silva,win,Flyweight,KO/TKO Punches,3,4:01,http://ufcstats.com/fight-details/b6a87389bdc36a00,http://ufcstats.com/event-details/18c49685296c60e6
Azamat Murzakanov,Brendson Ribeiro,win,Light Heavyweight,KO/TKO Punches,1,3:25,http://ufcstats.com/fight-details/01100a90b584215d,http://ufcstats.com/event-details/18c49685296c60e6
Waldo Cortes-Acosta,Serghei Spivac,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ac977a0389682124,http://ufcstats.com/event-details/18c49685296c60e6
Andreas Gustafsson,Khaos Williams,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f0488a4486a64af0,http://ufcstats.com/event-details/18c49685296c60e6
Wang Cong,Ariane da Silva,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d078e9046aa86307,http://ufcstats.com/event-details/18c49685296c60e6
JooSang Yoo,Jeka Saragih,win,Featherweight,KO/TKO Punch,1,0:28,http://ufcstats.com/fight-details/9f4a0de31375ba04,http://ufcstats.com/event-details/18c49685296c60e6
Quillan Salkilld,Yanal Ashmouz,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2e4064e0e6d4d92e,http://ufcstats.com/event-details/18c49685296c60e6
MarQuel Mederos,Mark Choinski,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0e8599eca8ccfa32,http://ufcstats.com/event-details/18c49685296c60e6
Mateusz Gamrot,Ludovit Klein,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/212527d462690304,http://ufcstats.com/event-details/2a898bf9fb7710b3
Ramiz Brahimaj,Billy Ray Goff,win,Welterweight,SUB Guillotine Choke,1,3:16,http://ufcstats.com/fight-details/305d8c85b35a7d4e,http://ufcstats.com/event-details/2a898bf9fb7710b3
Dustin Jacoby,Bruno Lopes,win,Light Heavyweight,KO/TKO Punch,1,1:50,http://ufcstats.com/fight-details/7aaa810540132a4b,http://ufcstats.com/event-details/2a898bf9fb7710b3
Ketlen Vieira,Macy Chiasson,win,Women's Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/106918bfbe24335d,http://ufcstats.com/event-details/2a898bf9fb7710b3
Zachary Reese,Dusko Todorovic,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ad68450307a21ab1,http://ufcstats.com/event-details/2a898bf9fb7710b3
Allan Nascimento,Jafel Filho,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/baa2ee0bf7f97079,http://ufcstats.com/event-details/2a898bf9fb7710b3
Jordan Leavitt,Kurt Holobaugh,win,Lightweight,SUB Anaconda Choke,1,1:39,http://ufcstats.com/fight-details/2521fed000747f47,http://ufcstats.com/event-details/2a898bf9fb7710b3
Bolaji Oki,Michael Aswell,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ae89ba793121fe0c,http://ufcstats.com/event-details/2a898bf9fb7710b3
Alice Ardelean,Rayanne dos Santos,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/73240bea13ed5e71,http://ufcstats.com/event-details/2a898bf9fb7710b3
Michael Morales,Gilbert Burns,win,Welterweight,KO/TKO Punches,1,3:39,http://ufcstats.com/fight-details/a81ad236a2f221f2,http://ufcstats.com/event-details/8ad022dd81224f61
Mairon Santos,Sodiq Yusuff,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/dcb27eef6441268c,http://ufcstats.com/event-details/8ad022dd81224f61
Nursulton Ruziboev,Dustin Stoltzfus,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/b3044bf646306e7f,http://ufcstats.com/event-details/8ad022dd81224f61
Melquizael Costa,Julian Erosa,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/fe2acfdaaaec3dba,http://ufcstats.com/event-details/8ad022dd81224f61
Gabe Green,Matheus Camilo,win,Lightweight,SUB Rear Naked Choke,2,3:43,http://ufcstats.com/fight-details/a9a6cca4bbf7a5db,http://ufcstats.com/event-details/8ad022dd81224f61
Jared Gordon,Thiago Moises,win,Lightweight,KO/TKO Punch,1,3:37,http://ufcstats.com/fight-details/8ba31cf0b3164b72,http://ufcstats.com/event-details/8ad022dd81224f61
Yadier del Valle,Connor Matthews,win,Featherweight,SUB Rear Naked Choke,1,2:54,http://ufcstats.com/fight-details/d6e2bc6e6c0cc4fe,http://ufcstats.com/event-details/8ad022dd81224f61
Luana Santos,Tainara Lisboa,win,Women's Bantamweight,SUB Keylock,2,4:59,http://ufcstats.com/fight-details/f75fe8b384b0db11,http://ufcstats.com/event-details/8ad022dd81224f61
Denise Gomes,Elise Reed,win,Women's Strawweight,KO/TKO Punches,2,0:30,http://ufcstats.com/fight-details/66887532be2de5ee,http://ufcstats.com/event-details/8ad022dd81224f61
HyunSung Park,Carlos Hernandez,win,Flyweight,SUB Rear Naked Choke,1,2:26,http://ufcstats.com/fight-details/18a7dc86279066f8,http://ufcstats.com/event-details/8ad022dd81224f61
Tecia Pennington,Luana Pinheiro,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/afdd95ae7b7cdb0c,http://ufcstats.com/event-details/8ad022dd81224f61
Jack Della Maddalena,Belal Muhammad,win,Welterweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/b873c116e39c9920,http://ufcstats.com/event-details/118463dd8db16e7f
Valentina Shevchenko,Manon Fiorot,win,Women's Flyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/9e9d1764a015f313,http://ufcstats.com/event-details/118463dd8db16e7f
Aiemann Zahabi,Jose Aldo,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/891b2faf1bff38ee,http://ufcstats.com/event-details/118463dd8db16e7f
Natalia Silva,Alexa Grasso,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0f53eb509d0ffeb9,http://ufcstats.com/event-details/118463dd8db16e7f
Benoit Saint Denis,Kyle Prepolec,win,Lightweight,SUB Arm Triangle,2,2:35,http://ufcstats.com/fight-details/c7190cd03e53fb61,http://ufcstats.com/event-details/118463dd8db16e7f
Mike Malott,Charles Radtke,win,Welterweight,KO/TKO Punch,2,0:26,http://ufcstats.com/fight-details/2521234a4bf7c615,http://ufcstats.com/event-details/118463dd8db16e7f
Jasmine Jasudavicius,Jessica Andrade,win,Women's Flyweight,SUB Rear Naked Choke,1,2:40,http://ufcstats.com/fight-details/4db2d86ebe8c8abd,http://ufcstats.com/event-details/118463dd8db16e7f
Modestas Bukauskas,Ion Cutelaba,win,Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/c812457a810dde39,http://ufcstats.com/event-details/118463dd8db16e7f
Navajo Stirling,Ivan Erslan,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/99aa1f28e22bb6dd,http://ufcstats.com/event-details/118463dd8db16e7f
Marc-Andre Barriault,Bruno Silva,win,Middleweight,KO/TKO Elbows,1,1:27,http://ufcstats.com/fight-details/6ecfa439ef900bcc,http://ufcstats.com/event-details/118463dd8db16e7f
Daniel Santos,JeongYeong Lee,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0e0a4282cd6c86d7,http://ufcstats.com/event-details/118463dd8db16e7f
Bekzat Almakhan,Brad Katona,win,Bantamweight,KO/TKO Punch,1,1:04,http://ufcstats.com/fight-details/c20bd12ae7f04eff,http://ufcstats.com/event-details/118463dd8db16e7f
Cory Sandhagen,Deiveson Figueiredo,win,Bantamweight,KO/TKO,2,4:08,http://ufcstats.com/fight-details/9b3bade95e1dd484,http://ufcstats.com/event-details/de20ffb3fc2e7629
Reinier de Ridder,Bo Nickal,win,Middleweight,KO/TKO Knee,2,1:53,http://ufcstats.com/fight-details/380242601a2c5991,http://ufcstats.com/event-details/de20ffb3fc2e7629
Daniel Rodriguez,Santiago Ponzinibbio,win,Welterweight,KO/TKO Punch,3,1:12,http://ufcstats.com/fight-details/191ee545160a4e09,http://ufcstats.com/event-details/de20ffb3fc2e7629
Montel Jackson,Daniel Marcos,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/5ce29056e0cd2df9,http://ufcstats.com/event-details/de20ffb3fc2e7629
Serhiy Sidey,Cameron Smotherman,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6ccd10adc968e1f0,http://ufcstats.com/event-details/de20ffb3fc2e7629
Mason Jones,Jeremy Stephens,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/9039959b41901412,http://ufcstats.com/event-details/de20ffb3fc2e7629
